Atoms. Timestep: 0
0 1.000000 0.000000 0.000000
0 0.902113 0.618034 0.000000
0 0.618034 1.175571 0.000000
0 0.175571 1.618034 0.000000
0 -0.381966 1.902113 0.000000
0 -1.000000 2.000000 0.000000
0 -1.618034 1.902113 0.000000
0 -2.175571 1.618034 0.000000
0 -2.618034 1.175571 0.000000
0 -2.902113 0.618034 0.000000
0 -1.000000 -0.000000 0.000000
0 -0.902113 0.618034 0.000000
0 -0.618034 1.175571 0.000000
0 -0.175571 1.618034 0.000000
0 0.381966 1.902113 0.000000
0 1.000000 2.000000 0.000000
0 1.618034 1.902113 0.000000
0 2.175571 1.618034 0.000000
0 2.618034 1.175571 0.000000
0 2.902113 0.618034 0.000000
Atoms. Timestep: 1
0 1.078947 0.000000 0.157895
0 0.979772 0.626166 0.157895
0 0.691955 1.191039 0.157895
0 0.243670 1.639324 0.157895
0 -0.321202 1.927141 0.157895
0 -0.947368 2.026316 0.157895
0 -1.573534 1.927141 0.157895
0 -2.138407 1.639324 0.157895
0 -2.586692 1.191039 0.157895
0 -2.874509 0.626166 0.157895
0 -1.078947 -0.000000 0.157895
0 -0.979772 0.544846 0.157895
0 -0.691955 1.036358 0.157895
0 -0.243670 1.426425 0.157895
0 0.321202 1.676863 0.157895
0 0.947368 1.763158 0.157895
0 1.573534 1.676863 0.157895
0 2.138407 1.426425 0.157895
0 2.586692 1.036358 0.157895
0 2.874509 0.544846 0.157895
Atoms. Timestep: 2
0 1.157895 0.000000 0.315789
0 1.057432 0.634298 0.315789
0 0.765877 1.206507 0.315789
0 0.311770 1.660614 0.315789
0 -0.260439 1.952169 0.315789
0 -0.894737 2.052632 0.315789
0 -1.529035 1.952169 0.315789
0 -2.101243 1.660614 0.315789
0 -2.555351 1.206507 0.315789
0 -2.846905 0.634298 0.315789
0 -1.157895 -0.000000 0.315789
0 -1.057432 0.471658 0.315789
0 -0.765877 0.897146 0.315789
0 -0.311770 1.234815 0.315789
0 0.260439 1.451613 0.315789
0 0.894737 1.526316 0.315789
0 1.529035 1.451613 0.315789
0 2.101243 1.234815 0.315789
0 2.555351 0.897146 0.315789
0 2.846905 0.471658 0.315789
Atoms. Timestep: 3
0 1.236842 0.000000 0.473684
0 1.135091 0.642430 0.473684
0 0.839798 1.221975 0.473684
0 0.379869 1.681904 0.473684
0 -0.199675 1.977196 0.473684
0 -0.842105 2.078947 0.473684
0 -1.484535 1.977196 0.473684
0 -2.064080 1.681904 0.473684
0 -2.524009 1.221975 0.473684
0 -2.819302 0.642430 0.473684
0 -1.236842 -0.000000 0.473684
0 -1.135091 0.398469 0.473684
0 -0.839798 0.757934 0.473684
0 -0.379869 1.043206 0.473684
0 0.199675 1.226362 0.473684
0 0.842105 1.289474 0.473684
0 1.484535 1.226362 0.473684
0 2.064080 1.043206 0.473684
0 2.524009 0.757934 0.473684
0 2.819302 0.398469 0.473684
Atoms. Timestep: 4
0 1.315789 0.000000 0.631579
0 1.212751 0.650562 0.631579
0 0.913720 1.237443 0.631579
0 0.447969 1.703194 0.631579
0 -0.138912 2.002224 0.631579
0 -0.789474 2.105263 0.631579
0 -1.440036 2.002224 0.631579
0 -2.026916 1.703194 0.631579
0 -2.492667 1.237443 0.631579
0 -2.791698 0.650562 0.631579
0 -1.315789 -0.000000 0.631579
0 -1.212751 0.325281 0.631579
0 -0.913720 0.618721 0.631579
0 -0.447969 0.851597 0.631579
0 0.138912 1.001112 0.631579
0 0.789474 1.052632 0.631579
0 1.440036 1.001112 0.631579
0 2.026916 0.851597 0.631579
0 2.492667 0.618721 0.631579
0 2.791698 0.325281 0.631579
Atoms. Timestep: 5
0 1.394737 0.000000 0.789474
0 1.290410 0.658694 0.789474
0 0.987641 1.252911 0.789474
0 0.516069 1.724484 0.789474
0 -0.078148 2.027252 0.789474
0 -0.736842 2.131579 0.789474
0 -1.395536 2.027252 0.789474
0 -1.989753 1.724484 0.789474
0 -2.461326 1.252911 0.789474
0 -2.764094 0.658694 0.789474
0 -1.394737 -0.000000 0.789474
0 -1.290410 0.252093 0.789474
0 -0.987641 0.479509 0.789474
0 -0.516069 0.659988 0.789474
0 0.078148 0.775862 0.789474
0 0.736842 0.815789 0.789474
0 1.395536 0.775862 0.789474
0 1.989753 0.659988 0.789474
0 2.461326 0.479509 0.789474
0 2.764094 0.252093 0.789474
Atoms. Timestep: 6
0 1.473684 0.000000 0.947368
0 1.368069 0.666826 0.947368
0 1.061563 1.268379 0.947368
0 0.584168 1.745774 0.947368
0 -0.017384 2.052280 0.947368
0 -0.684211 2.157895 0.947368
0 -1.351037 2.052280 0.947368
0 -1.952589 1.745774 0.947368
0 -2.429984 1.268379 0.947368
0 -2.736490 0.666826 0.947368
0 -1.473684 -0.000000 0.947368
0 -1.368069 0.178905 0.947368
0 -1.061563 0.340297 0.947368
0 -0.584168 0.468378 0.947368
0 0.017384 0.550612 0.947368
0 0.684211 0.578947 0.947368
0 1.351037 0.550612 0.947368
0 1.952589 0.468378 0.947368
0 2.429984 0.340297 0.947368
0 2.736490 0.178905 0.947368
Atoms. Timestep: 7
0 1.552632 0.000000 1.105263
0 1.445729 0.674958 1.105263
0 1.135484 1.283847 1.105263
0 0.652268 1.767063 1.105263
0 0.043379 2.077308 1.105263
0 -0.631579 2.184211 1.105263
0 -1.306537 2.077308 1.105263
0 -1.915426 1.767063 1.105263
0 -2.398642 1.283847 1.105263
0 -2.708887 0.674958 1.105263
0 -1.552632 -0.000000 1.105263
0 -1.445729 0.105716 1.105263
0 -1.135484 0.201084 1.105263
0 -0.652268 0.276769 1.105263
0 -0.043379 0.325361 1.105263
0 0.631579 0.342105 1.105263
0 1.306537 0.325361 1.105263
0 1.915426 0.276769 1.105263
0 2.398642 0.201084 1.105263
0 2.708887 0.105716 1.105263
Atoms. Timestep: 8
0 1.631579 0.000000 1.263158
0 1.523388 0.683090 1.263158
0 1.209406 1.299315 1.263158
0 0.720367 1.788353 1.263158
0 0.104143 2.102335 1.263158
0 -0.578947 2.210526 1.263158
0 -1.262038 2.102335 1.263158
0 -1.878262 1.788353 1.263158
0 -2.367301 1.299315 1.263158
0 -2.681283 0.683090 1.263158
0 -1.631579 -0.000000 1.263158
0 -1.523388 0.032528 1.263158
0 -1.209406 0.061872 1.263158
0 -0.720367 0.085160 1.263158
0 -0.104143 0.100111 1.263158
0 0.578947 0.105263 1.263158
