x_0	x_1	x_2
4.38736	7.1557	3.50847
3.08244	6.87365	5.02432
1.37799	6.13625	5.86769
-0.426536	5.1998	5.66647
-1.71309	4.29165	4.41797
-2.21978	3.62963	2.56477
-2.18113	3.35069	0.457667
-1.93415	3.56809	-1.57638
-1.94168	3.87367	-3.56677
-2.38236	3.78512	-5.4765
-2.93226	3.03519	-7.22667
-3.1105	1.7182	-8.64924
-3.93414	-0.0314041	-8.83572
-5.2356	-1.32765	-8.0115
-6.42902	-2.07925	-6.49081
-7.39415	-2.17255	-4.64329
-8.0867	-1.63002	-2.76011
-8.30326	-0.710124	-0.928625
-8.23347	0.688852	0.571715
-8.00414	2.59183	1.25332
-7.26754	4.49677	1.21713
-5.78451	5.95539	1.32177
-3.88361	6.83127	1.49166
-1.79398	6.67148	1.75833
0.130144	5.78768	1.98275
1.77038	4.47664	2.40347
3.35209	3.07757	2.86053
4.92707	1.66848	2.87272
6.17058	-0.0108542	2.391
6.74919	-1.58081	1.15521
6.68059	-2.84284	-0.47228
5.78744	-3.63124	-2.15654
4.46625	-4.77385	-3.236
3.04339	-6.13609	-3.71662
1.53188	-7.49581	-3.6216
-0.0573097	-8.57381	-2.94576
-1.56345	-9.23044	-1.72438
-2.68468	-9.29965	-0.0237223
-3.11419	-8.79987	1.90913
-2.58459	-8.03124	3.67141
-1.11982	-7.02771	4.46562
0.0427864	-5.42471	4.56494
0.65296	-3.66233	3.9762
1.22806	-2.16869	2.81335
2.0575	-0.960702	1.41003
3.2017	0.267364	0.220752
4.37247	1.77946	-0.51796
5.26795	3.58579	-0.620554
5.55117	5.38455	0.182815
5.20301	6.67768	1.71908
